year,origin_code_state,origin_code_county,origin_state,origin_county,dest_code_state,dest_code_county,dest_state,dest_county,num_movers
2011,13,63,GA,Clayton,96,0,GA,Clayton Tot Mig-US & For,27637
2011,13,63,GA,Clayton,97,0,GA,Clayton Tot Mig-US,27525
2011,13,63,GA,Clayton,97,1,GA,Clayton Tot Mig-Same St,21147
2011,13,63,GA,Clayton,97,3,GA,Clayton Tot Mig-Diff St,6378
2011,13,63,GA,Clayton,98,0,GA,Clayton Tot Mig-Foreign,112
2011,13,63,GA,Clayton,12,86,FL,Miami Dade,169
2011,13,63,GA,Clayton,12,11,FL,Broward,118
2011,13,63,GA,Clayton,12,57,FL,Hillsborough,98
2011,13,63,GA,Clayton,6,37,CA,Los Angeles,121
2011,13,63,GA,Clayton,36,47,NY,Kings,110
2011,13,63,GA,Clayton,48,201,TX,Harris,109
2011,13,63,GA,Clayton,17,31,IL,Cook,113
2011,13,63,GA,Clayton,57,5,FR,Foreign - APO/FPO ZIPs,85
2011,13,63,GA,Clayton,12,95,FL,Orange,73
2011,13,63,GA,Clayton,37,119,NC,Mecklenburg,71
2011,13,63,GA,Clayton,26,163,MI,Wayne,61
2011,13,63,GA,Clayton,47,157,TN,Shelby,89
2011,13,63,GA,Clayton,48,113,TX,Dallas,81
2011,13,63,GA,Clayton,12,99,FL,Palm Beach,68
2011,13,63,GA,Clayton,22,71,LA,Orleans Parish,62
2011,13,63,GA,Clayton,1,73,AL,Jefferson,62
2011,13,63,GA,Clayton,4,13,AZ,Maricopa,52
2011,13,63,GA,Clayton,12,31,FL,Duval,52
2011,13,63,GA,Clayton,1,101,AL,Montgomery,60
2011,13,63,GA,Clayton,24,33,MD,Prince George's,52
2011,13,63,GA,Clayton,22,51,LA,Jefferson Parish,45
2011,13,63,GA,Clayton,36,5,NY,Bronx,43
2011,13,63,GA,Clayton,1,97,AL,Mobile,49
2011,13,63,GA,Clayton,37,183,NC,Wake,46
2011,13,63,GA,Clayton,45,79,SC,Richland,48
2011,13,63,GA,Clayton,6,73,CA,San Diego,40
2011,13,63,GA,Clayton,36,81,NY,Queens,43
2011,13,63,GA,Clayton,28,49,MS,Hinds,38
2011,13,63,GA,Clayton,39,35,OH,Cuyahoga,42
2011,13,63,GA,Clayton,42,101,PA,Philadelphia,35
2011,13,63,GA,Clayton,12,33,FL,Escambia,39
