year,origin_state,origin_county,dest_state,dest_county,num_movers
2011,GA,Clayton,FL,Miami Dade,169
2011,GA,Clayton,FL,Broward,118
2011,GA,Clayton,FL,Hillsborough,98
2011,GA,Clayton,CA,Los Angeles,121
2011,GA,Clayton,NY,Kings,110
2011,GA,Clayton,TX,Harris,109
2011,GA,Clayton,IL,Cook,113
2011,GA,Clayton,FL,Orange,73
2011,GA,Clayton,NC,Mecklenburg,71
2011,GA,Clayton,MI,Wayne,61
2011,GA,Clayton,TN,Shelby,89
2011,GA,Clayton,TX,Dallas,81
2011,GA,Clayton,FL,Palm Beach,68
2011,GA,Clayton,LA,Orleans Parish,62
2011,GA,Clayton,AL,Jefferson,62
2011,GA,Clayton,AZ,Maricopa,52
2011,GA,Clayton,FL,Duval,52
2011,GA,Clayton,AL,Montgomery,60
2011,GA,Clayton,MD,Prince George's,52
2011,GA,Clayton,LA,Jefferson Parish,45
2011,GA,Clayton,NY,Bronx,43
2011,GA,Clayton,AL,Mobile,49
2011,GA,Clayton,NC,Wake,46
2011,GA,Clayton,SC,Richland,48
2011,GA,Clayton,CA,San Diego,40
2011,GA,Clayton,NY,Queens,43
2011,GA,Clayton,MS,Hinds,38
2011,GA,Clayton,OH,Cuyahoga,42
2011,GA,Clayton,PA,Philadelphia,35
2011,GA,Clayton,FL,Escambia,39
2011,GA,Clayton,NC,Cumberland,28
2011,GA,Clayton,AL,Madison,33
2011,GA,Clayton,MD,Montgomery,31
2011,GA,Clayton,TN,Davidson,36
2011,GA,Clayton,FL,Leon,25
2011,GA,Clayton,FL,Pinellas,23
2011,GA,Clayton,MN,Hennepin,31
2011,GA,Clayton,CA,Alameda,20
2011,GA,Clayton,FL,Volusia,25
2011,GA,Clayton,IN,Marion,39
2011,GA,Clayton,SC,Greenville,38
2011,GA,Clayton,TX,Tarrant,45
2011,GA,Clayton,MI,Oakland,20
2011,GA,Clayton,NV,Clark,22
2011,GA,Clayton,NY,New York,20
2011,GA,Clayton,PA,Allegheny,29
2011,GA,Clayton,TX,Bexar,30
2011,GA,Clayton,TX,El Paso,42
2011,GA,Clayton,AL,Lee,25
2011,GA,Clayton,MA,Suffolk,22
2011,GA,Clayton,NY,Monroe,25
2011,GA,Clayton,TX,Bell,26
2011,GA,Clayton,VA,Norfolk city,22
2011,GA,Clayton,CA,San Bernardino,29
2011,GA,Clayton,FL,Brevard,31
2011,GA,Clayton,MD,Baltimore,30
2011,GA,Clayton,NJ,Essex,23
2011,GA,Clayton,NJ,Union,25
2011,GA,Clayton,NC,Guilford,33
2011,GA,Clayton,VA,Newport News city,18
2011,GA,Clayton,WI,Milwaukee,30
2011,GA,Clayton,AL,Russell,18
2011,GA,Clayton,LA,East Baton Rouge Parish,25
2011,GA,Clayton,NY,Nassau,28
2011,GA,Clayton,OH,Hamilton,32
2011,GA,Clayton,SC,Spartanburg,34
2011,GA,Clayton,HI,Honolulu,22
2011,GA,Clayton,OH,Franklin,24
2011,GA,Clayton,SC,Beaufort,12
2011,GA,Clayton,TN,Hamilton,27
2011,GA,Clayton,TX,Denton,19
2011,GA,Clayton,VA,Fairfax,17
2011,GA,Cobb,FL,Miami Dade,363
2011,GA,Cobb,CA,Los Angeles,314
2011,GA,Cobb,FL,Broward,293
2011,GA,Cobb,TX,Harris,344
2011,GA,Cobb,FL,Hillsborough,249
2011,GA,Cobb,IL,Cook,286
2011,GA,Cobb,NC,Mecklenburg,275
2011,GA,Cobb,TX,Dallas,275
2011,GA,Cobb,FL,Orange,229
2011,GA,Cobb,FL,Duval,197
2011,GA,Cobb,AL,Jefferson,211
2011,GA,Cobb,NY,Kings,153
2011,GA,Cobb,NY,New York,122
2011,GA,Cobb,AZ,Maricopa,165
2011,GA,Cobb,TX,Tarrant,163
2011,GA,Cobb,FL,Palm Beach,162
2011,GA,Cobb,NC,Wake,177
2011,GA,Cobb,TN,Hamilton,132
2011,GA,Cobb,TN,Shelby,162
2011,GA,Cobb,SC,Greenville,157
2011,GA,Cobb,FL,Pinellas,117
2011,GA,Cobb,TN,Davidson,89
2011,GA,Cobb,WA,King,114
2011,GA,Cobb,CA,San Diego,130
