year,atl_county,state,inbound,outbound
2011,Clayton,Florida,879,721
2011,Clayton,California,211,210
2011,Clayton,New York,386,269
2011,Clayton,Texas,201,352
2011,Clayton,Illinois,155,113
2011,Clayton,North Carolina,221,178
2011,Clayton,Michigan,162,81
2011,Clayton,Tennessee,187,152
2011,Clayton,Louisiana,112,132
2011,Clayton,Alabama,261,247
2011,Clayton,Arizona,53,52
2011,Clayton,Maryland,118,113
2011,Clayton,South Carolina,293,132
2011,Clayton,Mississippi,28,38
2011,Clayton,Ohio,186,98
2011,Clayton,Pennsylvania,78,64
2011,Clayton,Minnesota,10,31
2011,Clayton,Indiana,56,39
2011,Clayton,Nevada,45,22
2011,Clayton,Massachusetts,15,22
2011,Clayton,Virginia,48,57
2011,Clayton,New Jersey,53,48
2011,Clayton,Wisconsin,37,30
2011,Clayton,Hawaii,40,22
2011,Clayton,Washington,15,10
2011,Clayton,Connecticut,25,10
2011,Clayton,Kentucky,28,10
2011,Clayton,Washington DC,10,20
2011,Cobb,Florida,2721,2695
2011,Cobb,California,792,914
2011,Cobb,New York,1018,647
2011,Cobb,Texas,829,1423
2011,Cobb,Illinois,680,454
2011,Cobb,North Carolina,758,730
2011,Cobb,Michigan,437,235
2011,Cobb,Tennessee,590,611
2011,Cobb,Louisiana,204,335
2011,Cobb,Alabama,776,771
2011,Cobb,Arizona,232,210
2011,Cobb,Maryland,331,377
2011,Cobb,South Carolina,530,579
2011,Cobb,Mississippi,118,94
2011,Cobb,Ohio,517,287
2011,Cobb,Pennsylvania,313,234
2011,Cobb,Minnesota,154,136
2011,Cobb,Indiana,192,167
2011,Cobb,Nevada,125,83
2011,Cobb,Massachusetts,201,268
2011,Cobb,Virginia,530,527
2011,Cobb,New Jersey,458,310
2011,Cobb,Wisconsin,109,64
2011,Cobb,Hawaii,43,44
2011,Cobb,Washington,126,176
2011,Cobb,Colorado,169,275
2011,Cobb,Connecticut,161,160
2011,Cobb,Oregon,24,23
2011,Cobb,Kentucky,117,120
2011,Cobb,Missouri,170,190
2011,Cobb,Delaware,31,50
2011,Cobb,Oklahoma,67,108
2011,Cobb,Arkansas,94,61
2011,Cobb,Nebraska,35,28
2011,Cobb,New Mexico,24,27
2011,Cobb,Rhode Island,21,23
2011,Cobb,Utah,63,39
2011,Cobb,Kansas,374,94
2011,Cobb,Iowa,21,19
2011,Cobb,New Hampshire,26,10
2011,Cobb,Alaska,10,23
2011,Cobb,Washington DC,62,35
2011,Dekalb,Florida,2484,2255
2011,Dekalb,California,915,1022
2011,Dekalb,New York,1262,969
2011,Dekalb,Texas,773,1026
2011,Dekalb,Illinois,563,418
2011,Dekalb,North Carolina,877,817
2011,Dekalb,Michigan,459,395
2011,Dekalb,Tennessee,530,548
2011,Dekalb,Louisiana,254,370
2011,Dekalb,Alabama,754,679
2011,Dekalb,Arizona,162,161
2011,Dekalb,Maryland,334,456
2011,Dekalb,South Carolina,728,497
2011,Dekalb,Mississippi,182,78
2011,Dekalb,Ohio,593,386
2011,Dekalb,Pennsylvania,369,276
2011,Dekalb,Minnesota,152,146
2011,Dekalb,Indiana,202,109
2011,Dekalb,Nevada,121,85
2011,Dekalb,Massachusetts,268,259
2011,Dekalb,Virginia,495,537
2011,Dekalb,New Jersey,506,326
2011,Dekalb,Wisconsin,127,71
2011,Dekalb,Hawaii,43,31
2011,Dekalb,Washington,143,214
2011,Dekalb,Colorado,134,168
2011,Dekalb,Connecticut,169,121
2011,Dekalb,Oregon,36,50
2011,Dekalb,Kentucky,98,106
2011,Dekalb,Missouri,179,137
2011,Dekalb,Delaware,35,74
2011,Dekalb,Oklahoma,61,83
2011,Dekalb,Arkansas,24,30
2011,Dekalb,Nebraska,26,43
2011,Dekalb,New Mexico,26,29
2011,Dekalb,Rhode Island,26,41
2011,Dekalb,Utah,54,45
2011,Dekalb,Kansas,68,51
2011,Dekalb,Maine,40,10
2011,Dekalb,Iowa,20,31
2011,Dekalb,Alaska,14,22
2011,Dekalb,Washington DC,160,121
2011,Fulton,Florida,4224,3733
2011,Fulton,California,1770,1938
2011,Fulton,New York,1701,1597
2011,Fulton,Texas,1332,1730
2011,Fulton,Illinois,1188,789
2011,Fulton,North Carolina,1432,1261
2011,Fulton,Michigan,641,506
2011,Fulton,Tennessee,949,807
2011,Fulton,Louisiana,362,475
2011,Fulton,Alabama,1248,951
2011,Fulton,Arizona,316,305
2011,Fulton,Maryland,680,659
2011,Fulton,South Carolina,1115,907
2011,Fulton,Mississippi,261,192
2011,Fulton,Ohio,1024,566
2011,Fulton,Pennsylvania,755,460
2011,Fulton,Minnesota,216,156
2011,Fulton,Indiana,320,204
2011,Fulton,Nevada,180,144
2011,Fulton,Massachusetts,483,476
2011,Fulton,Virginia,952,901
2011,Fulton,New Jersey,901,707
2011,Fulton,Wisconsin,198,145
2011,Fulton,Hawaii,48,69
2011,Fulton,Washington,252,284
2011,Fulton,Colorado,295,397
2011,Fulton,Connecticut,322,276
2011,Fulton,Oregon,114,128
2011,Fulton,Kentucky,175,107
2011,Fulton,Missouri,295,157
2011,Fulton,Delaware,113,83
2011,Fulton,Oklahoma,86,82
2011,Fulton,Arkansas,156,76
2011,Fulton,Nebraska,76,58
2011,Fulton,New Mexico,44,33
2011,Fulton,Rhode Island,75,28
2011,Fulton,Utah,74,37
2011,Fulton,Kansas,114,48
2011,Fulton,Maine,22,10
2011,Fulton,Iowa,60,35
2011,Fulton,New Hampshire,35,24
2011,Fulton,Alaska,10,36
2011,Fulton,Washington DC,223,182
2011,Gwinnett,Florida,2941,2944
2011,Gwinnett,California,998,1024
2011,Gwinnett,New York,1365,1044
2011,Gwinnett,Texas,964,1265
2011,Gwinnett,Illinois,573,347
2011,Gwinnett,North Carolina,762,812
2011,Gwinnett,Michigan,419,262
2011,Gwinnett,Tennessee,503,493
2011,Gwinnett,Louisiana,154,225
2011,Gwinnett,Alabama,536,602
2011,Gwinnett,Arizona,188,178
2011,Gwinnett,Maryland,386,361
2011,Gwinnett,South Carolina,659,787
2011,Gwinnett,Mississippi,69,119
2011,Gwinnett,Ohio,629,228
2011,Gwinnett,Pennsylvania,460,209
2011,Gwinnett,Minnesota,59,80
2011,Gwinnett,Indiana,239,99
2011,Gwinnett,Nevada,132,66
2011,Gwinnett,Massachusetts,247,144
2011,Gwinnett,Virginia,473,460
2011,Gwinnett,New Jersey,673,415
2011,Gwinnett,Wisconsin,68,63
2011,Gwinnett,Hawaii,55,57
2011,Gwinnett,Washington,109,176
2011,Gwinnett,Colorado,124,223
2011,Gwinnett,Connecticut,206,146
2011,Gwinnett,Oregon,10,45
2011,Gwinnett,Kentucky,92,67
2011,Gwinnett,Missouri,131,62
2011,Gwinnett,Delaware,19,27
2011,Gwinnett,Oklahoma,78,67
2011,Gwinnett,Arkansas,45,65
2011,Gwinnett,Nebraska,10,39
2011,Gwinnett,New Mexico,16,25
2011,Gwinnett,Rhode Island,51,42
2011,Gwinnett,Utah,65,64
2011,Gwinnett,Kansas,49,57
2011,Gwinnett,Iowa,10,20
2011,Gwinnett,New Hampshire,23,10
2011,Gwinnett,Alaska,10,38
2011,Gwinnett,Washington DC,41,24
2011,Gwinnett,West Virginia,12,10
2011,Gwinnett,Wyoming,20,10
